,tweet,username,Clean Tweets
0,Five days visiting Macquarie University: Catch up with old friends? ✅ Make new friends? ✅ Present research? ✅Finish grading essays? ❌,timminglab,Five days visiting Macquarie University Catch up with old friends whiteheavycheckmark Make new friends whiteheavycheckmark Present research whiteheavycheckmarkFinish grading essays crossmark
1,#NoJobCutsMQ #IstandwithMQstaff #TimetoTalkToUsMQVC Sign the petition to support Macquarie University staff! https://t.co/yXDxLxWUGq,CateyR,NoJobCutsMQ IstandwithMQstaff TimetoTalkToUsMQVC Sign the petition to support Macquarie University staff httpstcoyXDxLxWUGq
2,"'Macquarie university announced it would dissolve the Faculty of Human Sciences, with its subjects - cognitive scie… https://t.co/F2TsbzyjWR",AmyThunig,Macquarie university announced it would dissolve the Faculty of Human Sciences with its subjects  cognitive scie… httpstcoFTsbzyjWR
3,Recently returned from a #cybersecurity startup tour of India thanks to The Optus Macquarie University Cyber Securi… https://t.co/L8KXOAhfWb,AmlecHouse,Recently returned from a cybersecurity startup tour of India thanks to The Optus Macquarie University Cyber Securi… httpstcoLKXOAhfWb
4,IN THE NEWS | Veteran chief information officer Tim Hume has been named Macquarie University’s new permanent tech c… https://t.co/uZd1nRKXiP,SynergyJobsAu,IN THE NEWS  Veteran chief information officer Tim Hume has been named Macquarie University’s new permanent tech c… httpstcouZdnRKXiP
5,Why hasn’t that Professor from Macquarie University gotten back to me when I told him I was a tankie?,FrancStregone,Why hasn’t that Professor from Macquarie University gotten back to me when I told him I was a tankie
6,@AntonCrace An example of one university that over forecasted. There will be more to come. https://t.co/aAStQXE9Dn,BretlynB,AntonCrace An example of one university that over forecasted There will be more to come httpstcoaAStQXEDn
7,"Nov 13 Macquarie @AncientHistMQ  #SSEC Christmas meeting: Dr Gareth Wearne (ACU), Hanukkah at Qumran. And: Book Lau… https://t.co/WfoZ3k4C4e",res_australes,Nov  Macquarie AncientHistMQ  SSEC Christmas meeting Dr Gareth Wearne ACU Hanukkah at Qumran And Book Lau… httpstcoWfoZkCe
8,.@UTSEngage and @Macquarie_Uni have both fallen in the quarterfinals of the 2019 @FISU University 3×3 World Cup… https://t.co/ss4nJadK8a,3x3Hustle,UTSEngage and MacquarieUni have both fallen in the quarterfinals of the  FISU University × World Cup… httpstcossnJadKa
9,Join us 12 November 5:15pm at Birkbeck for the next IHR #histsex Seminar. Lisa L Wynn joins us from Macquarie Unive… https://t.co/OdlSGsPzEr,IHR_Sexuality,Join us  November pm at Birkbeck for the next IHR histsex Seminar Lisa L Wynn joins us from Macquarie Unive… httpstcoOdlSGsPzEr
10,"I'm pretty sure I have a few Mq people on here? 

Please sign and share this important petition: https://t.co/qbDfnJL5yA via @MegaphoneAU",BookWombat,"Im pretty sure I have a few Mq people on here 

Please sign and share this important petition httpstcoqbDfnJLyA via MegaphoneAU"
11,Looking forward to the #bennelongcup #tabletennis🏓 #schoolschallenge at #macquarieuniversity #sportscentre on Monda… https://t.co/ZxqZpySD15,STARStv,Looking forward to the bennelongcup tabletennispingpong schoolschallenge at macquarieuniversity sportscentre on Monda… httpstcoZxqZpySD
12,Macquarie University makes budget cuts due to enrolment troubles https://t.co/4ljsfjak8H. Industry upgrading + univ… https://t.co/HWNieA6rMj,Ryan_W_Tang,Macquarie University makes budget cuts due to enrolment troubles httpstcoljsfjakH Industry upgrading  univ… httpstcoHWNieArMj
13,"Big History: Connecting Knowledge
#History #Connecting #Knowledge
Macquarie University
https://t.co/9ZN8ymvwNf",money_personal,"Big History Connecting Knowledge
History Connecting Knowledge
Macquarie University
httpstcoZNymvwNf"
14,"I can't read it without sharing it with all you. Have a look.
How to hold a successful meeting - Macquarie Universi… https://t.co/iNScLrtyWC",Ef_Janjan,"I cant read it without sharing it with all you Have a look
How to hold a successful meeting  Macquarie Universi… httpstcoiNScLrtyWC"
15,"3. Bronwen Neil, Professor of Ancient History at Macquarie University, an expert on Byzantine Greek and medieval li… https://t.co/Qgf5IwPvt8",tigerlilyrocks, Bronwen Neil Professor of Ancient History at Macquarie University an expert on Byzantine Greek and medieval li… httpstcoQgfIwPvt
16,"Excel Skills for Business
by Macquarie University @Macquarie_Uni 

Data Analysis and Presentation Skills: the PwC A… https://t.co/vtXeE9XyDV",Guidetotheeduc1,"Excel Skills for Business
by Macquarie University MacquarieUni 

Data Analysis and Presentation Skills the PwC A… httpstcovtXeEXyDV"
