,Label
0,__label__POSITIVE Please sign and share this important petition httpstcoZfQkzfiP via MegaphoneAU
1,__label__POSITIVE Very concerning reports about the  removal of protest posters on campus by Macquarie University security  Reportin… httpstcoyJwAYzEb
2,__label__NEUTRAL How prepared are paramedics to deal with climate change This picture taken by colleague phillipebbs at Charles St… httpstcoplrvjLEQE
3,__label__NEUTRAL ChrisJ paramedic building Charles Sturt University Port Macquarie Taken by colleague phillipebbs nofilter httpstcojGnNLjaiB
4,__label__POSITIVE Macquarie University announces scholarships worth AUD  million for Indian students in  httpstcoOyssSOah
5,__label__NEUTRAL Macquarie University in Australia is currently accepting applications for the VCIS  Global Allianz Fund for both u… httpstcoHcATNoBlUt
6,"__label__NEUTRAL Spot Assessment Admission amp Scholarship and Information Session by Macquarie University Sydney Australia

Exec… httpstcoKMgBBgFvU"
7,__label__POSITIVE Please sign and share this important petition httpstcobJWvAKEl via MegaphoneAU
8,__label__NEUTRAL AFIN Risk Management and Derivatives Assignment Help and Solution Macquarie University  Assessment Writing Ser… httpstcoqdOtudiTv
9,__label__NEUTRAL UCLIC Research Seminar th of November Annie Lau Macquarie University on Patient work – a context and timeuse… httpstcoDiuXQvXNd
10,__label__NEUTRAL Wishing all safety in the bushfires in NSW especially those University staff and students based at Port Macquarie… httpstcodEODcRzxa
11,__label__POSITIVE Such wonderful staff at Macquarie University Hospital amp Clincial Services great to hear from some today at our mon… httpstcoAMJZMsplu
12,__label__NEUTRAL Australia Mobilise students staff and academics against the closure of Macquarie University’s human sciences facu… httpstcosjmYlXqp
13,__label__NEGATIVE macquarieuniversity the worst University ever
14,__label__POSITIVE UTSStartups MacquarieUni The highlight of completing the Guo Social program at Macquarie University yesterday fo… httpstcoCCrXcX
15,__label__POSITIVE Please sign and share this important petition httpstcohCvvzNeqN via MegaphoneAU
16,__label__POSITIVE For more information on this excavation visit httpstcoxQsMVlBoY AncientHistMQ MacquarieUni archaeology
17,__label__NEUTRAL I participated in a Sex amp Consent in the Age of MeToo workshop organised by Kate Gleeson at MacquarieUni Plenty… httpstcogItmOrIff
18,__label__POSITIVE Please sign and share this important petition httpstcoUJrQvUoju via MegaphoneAU
19,__label__NEUTRAL Tour the Faculty of Science and Engineering for Macquarie University  by NBRS ARCHITECTURE httpstcoLBTEiCNz
20,__label__NEUTRAL The purposedriven university DebbieHaski httpstcoZCdCXSQdl YouTube TEDTalks at MacquarieUni… httpstcocRdMZgT
21,__label__NEUTRAL Congratulations to all pitchers tonight at guo finals macquarieuniversity incubator STARStv googlepixel… httpstcobFgMJEvdG
22,__label__POSITIVE A very old friend moves house  This Week At Macquarie University  Minmi is very excited… httpstcoiXIlxknEXH
23,__label__POSITIVE Launch of the first ever Cyber Breach Simulation Australia  CybSA  in proud partnership with The Optus Macquar… httpstcoztPVMmSK
24,__label__POSITIVE Please sign and share this important petition httpstcoBpTEqLsr via MegaphoneAU
25,__label__NEUTRAL To occupy the VC office at Macquarie University To protest cut of jobs and disestablishment of the entire Faculty… httpstcoqvcnEdhl
26,__label__NEUTRAL Australia Mobilise students staff and academics against the closure of Macquarie University’s human sciences facu… httpstcoZBcqjgGE
