,tweet,username,Clean Tweets
0,Please sign and share this important petition: https://t.co/Zf1Q0kzfiP via @MegaphoneAU,roblespar,Please sign and share this important petition httpstcoZfQkzfiP via MegaphoneAU
1,Very concerning reports about the  removal of protest posters on campus by Macquarie University security.  Reportin… https://t.co/yJwA01YzEb,copyculture,Very concerning reports about the  removal of protest posters on campus by Macquarie University security  Reportin… httpstcoyJwAYzEb
2,How prepared are paramedics to deal with climate change? This picture taken by colleague @phillipebbs at Charles St… https://t.co/plrv1jLEQE,RuthTownsendlaw,How prepared are paramedics to deal with climate change This picture taken by colleague phillipebbs at Charles St… httpstcoplrvjLEQE
3,"@ChrisJ999 paramedic building, Charles Sturt University, Port Macquarie. Taken by colleague @phillipebbs #nofilter https://t.co/jGnNLjaiB8",RuthTownsendlaw,ChrisJ paramedic building Charles Sturt University Port Macquarie Taken by colleague phillipebbs nofilter httpstcojGnNLjaiB
4,Macquarie University announces scholarships worth AUD $15 million for Indian students in 2020 https://t.co/Oys0sS7Oah,indiaedudiary,Macquarie University announces scholarships worth AUD  million for Indian students in  httpstcoOyssSOah
5,Macquarie University in Australia is currently accepting applications for the VCIS - Global Allianz Fund for both u… https://t.co/HcATNoBlUt,SchHubAfrica,Macquarie University in Australia is currently accepting applications for the VCIS  Global Allianz Fund for both u… httpstcoHcATNoBlUt
6,"Spot Assessment (Admission &amp; Scholarship) and Information Session by Macquarie University, Sydney, Australia.

Exec… https://t.co/K5MgBBgFvU",etibd,"Spot Assessment Admission amp Scholarship and Information Session by Macquarie University Sydney Australia

Exec… httpstcoKMgBBgFvU"
7,Please sign and share this important petition: https://t.co/bJ2WvA8KEl via @MegaphoneAU,meerwellen,Please sign and share this important petition httpstcobJWvAKEl via MegaphoneAU
8,"AFIN806 Risk Management and Derivatives Assignment Help and Solution, Macquarie University - Assessment Writing Ser… https://t.co/qdOtudiTv0",ExpertsMindInc,AFIN Risk Management and Derivatives Assignment Help and Solution Macquarie University  Assessment Writing Ser… httpstcoqdOtudiTv
9,UCLIC Research Seminar 13th of November: Annie Lau (Macquarie University) on Patient work – a context and time-use… https://t.co/DiuXQvX4Nd,uclic,UCLIC Research Seminar th of November Annie Lau Macquarie University on Patient work – a context and timeuse… httpstcoDiuXQvXNd
10,Wishing all safety in the bushfires in NSW especially those University staff and students based at Port Macquarie.… https://t.co/dEO9DcRzxa,dmsroy,Wishing all safety in the bushfires in NSW especially those University staff and students based at Port Macquarie… httpstcodEODcRzxa
11,"Such wonderful staff at Macquarie University Hospital &amp; Clincial Services, great to hear from some today at our mon… https://t.co/AM3JZMsplu",WKmet,Such wonderful staff at Macquarie University Hospital amp Clincial Services great to hear from some today at our mon… httpstcoAMJZMsplu
12,"Australia: Mobilise students, staff and academics against the closure of Macquarie University’s human sciences facu… https://t.co/sjmYlXq1p3",WSWS_Updates,Australia Mobilise students staff and academics against the closure of Macquarie University’s human sciences facu… httpstcosjmYlXqp
13,#macquarie_university the worst University ever.,iYousef911,macquarieuniversity the worst University ever
14,@UTSStartups @Macquarie_Uni The highlight of completing the Guo Social program at Macquarie University yesterday fo… https://t.co/C9Cr7XcX86,symaahmed,UTSStartups MacquarieUni The highlight of completing the Guo Social program at Macquarie University yesterday fo… httpstcoCCrXcX
15,Please sign and share this important petition: https://t.co/h3CvvzNeqN via @MegaphoneAU,nattiesandnatto,Please sign and share this important petition httpstcohCvvzNeqN via MegaphoneAU
16,For more information on this excavation visit https://t.co/8xQsMVlBoY @AncientHistMQ @Macquarie_Uni #archaeology,Archaeology_MQ,For more information on this excavation visit httpstcoxQsMVlBoY AncientHistMQ MacquarieUni archaeology
