,tweet,username,Clean Tweets
0,"@PremCricketNSW Rd 4 Day 1v @sutherlanddcc 
1sts 🐝batting 8/239
2nds Sutho 8/317
3rds 🐝190
4ths 🐝174 Sutho 0/13
5th… https://t.co/ihrH6oCEuX",UNSW_Cricket,"PremCricketNSW Rd  Day v sutherlanddcc 
sts honeybeebatting 
nds Sutho 
rds honeybee
ths honeybee Sutho 
th… httpstcoihrHoCEuX"
1,Interested in phylogenetics @Sydney_Uni @UNSW @USyd_Westmead @GarvanInstitute? There are still a few places left… https://t.co/BE8mtoK3zH,AusBiocommons,Interested in phylogenetics SydneyUni UNSW USydWestmead GarvanInstitute There are still a few places left… httpstcoBEmtoKzH
2,“I think that it’s important to encourage Indigenous people to consider academia as a potential career – it can be… https://t.co/7DMKX4bBg7,UNSWPVCI,“I think that it’s important to encourage Indigenous people to consider academia as a potential career – it can be… httpstcoDMKXbBg
3,"Applications close 11pm, this Wednesday 6 November for our Administrative Officer role. Are you an admin superstar,… https://t.co/Ptx4HcvhOT",KirbyInstitute,Applications close pm this Wednesday  November for our Administrative Officer role Are you an admin superstar… httpstcoPtxHcvhOT
4,"Meet the Professors seminar today at 3.30pm!

UNSW BEES' Profs Alistair Poore &amp; Shinichi Nakagawa

Register now! https://t.co/FqYDcTWAf1",unswbees,"Meet the Professors seminar today at pm

UNSW BEES Profs Alistair Poore amp Shinichi Nakagawa

Register now httpstcoFqYDcTWAf"
5,"Advance review copy via UNSWLJ now online: 'What Happens When Books Enter the Public Domain?' @jmflyn, @LeDataMiner… https://t.co/G7u6512Z72",rgibli,Advance review copy via UNSWLJ now online What Happens When Books Enter the Public Domain jmflyn LeDataMiner… httpstcoGuZ
6,"November #NDARCSeminar registration now open:

- A/Prof Kimberlie Dean: Risk of suicide &amp; self-harm amongst prisone… https://t.co/qCAiYhjPvO",NDARCNEWS,"November NDARCSeminar registration now open

 AProf Kimberlie Dean Risk of suicide amp selfharm amongst prisone… httpstcoqCAiYhjPvO"
7,Teaching how to water sample on @unswbees Earth's Interconnections fieldtrip to @CentParklands. And learning about… https://t.co/WIyQTjNxrR,baker_and,Teaching how to water sample on unswbees Earths Interconnections fieldtrip to CentParklands And learning about… httpstcoWIyQTjNxrR
8,📣 NSSN #DataHack behind the scenes📣Six teams from @UNSW @Sydney_Uni @ANUmedia @Macquarie_Uni @UTSEngage… https://t.co/18wVpGoxkc,NSWsensing,megaphone NSSN DataHack behind the scenesmegaphoneSix teams from UNSW SydneyUni ANUmedia MacquarieUni UTSEngage… httpstcowVpGoxkc
9,Check out the #MSInspire keynote by Dr Kellerman of @UNSW about their @MicrosoftTeams transformation.… https://t.co/VGJNIlVj2z,M365Adoption,Check out the MSInspire keynote by Dr Kellerman of UNSW about their MicrosoftTeams transformation… httpstcoVGJNIlVjz
10,"I'm here in beautiful Macau, presenting our PapillArray tactile sensor at the RoboTac workshop of the iROS 2019 con… https://t.co/N6bS9ILAuK",HebaKhamisAus,Im here in beautiful Macau presenting our PapillArray tactile sensor at the RoboTac workshop of the iROS  con… httpstcoNbSILAuK
11,"“You just need two bad winters like this and the species could collapse.” 

Our scientists have a radical conservat… https://t.co/fGKjV2ZIxG",UNSWScience,"“You just need two bad winters like this and the species could collapse” 

Our scientists have a radical conservat… httpstcofGKjVZIxG"
12,@JakeLapin_MLB @BenDuBose Something needs to be changed. Rockets now losing the performance as well as income.,samuel_unsw,JakeLapinMLB BenDuBose Something needs to be changed Rockets now losing the performance as well as income
13,"Congratulations to all the winners of the 2019 @UNSWArts Dean’s Research Awards.

Now in its seventh year, the Awar… https://t.co/HHqmjnbjMX",UNSWArts,"Congratulations to all the winners of the  UNSWArts Dean’s Research Awards

Now in its seventh year the Awar… httpstcoHHqmjnbjMX"
14,@HoustonRockets Loose game and loose support/money from Chinese Fans. What is Rockets now doing???,samuel_unsw,HoustonRockets Loose game and loose supportmoney from Chinese Fans What is Rockets now doing
15,Interested in joining @QuantumC2T @UNSW? We have a Research Associate role in our Silicon Qubit Interface Program!… https://t.co/DGQhWOcbqK,QuantumC2T,Interested in joining QuantumCT UNSW We have a Research Associate role in our Silicon Qubit Interface Program… httpstcoDGQhWOcbqK
16,.@UNSW's Dr. Kate Dunn is developing a material for #3Dprinting that simulates bones as part of a project with West… https://t.co/Po2BJqYubX,UNSWBuiltEnv,UNSWs Dr Kate Dunn is developing a material for Dprinting that simulates bones as part of a project with West… httpstcoPoBJqYubX
17,"@UNSWArts @so_s @UNSW Awesome choice of spokesperson. Dr Siobhan speaks for many of us and, most importantly, for all animals",DrEJ_SGY,UNSWArts sos UNSW Awesome choice of spokesperson Dr Siobhan speaks for many of us and most importantly for all animals
18,"I hate the label ""future engineer"" about as much ""lady engineer"" https://t.co/8IB3un5Sub but everyone should read a… https://t.co/OiHrsZ9pF4",QuantumG,I hate the label future engineer about as much lady engineer httpstcoIBunSub but everyone should read a… httpstcoOiHrsZpF
19,"Russia is seeking to route the country's web traffic and data through state-controlled points, in a bid to protect… https://t.co/cnfpRy01Ms",UNSWEngineering,Russia is seeking to route the countrys web traffic and data through statecontrolled points in a bid to protect… httpstcocnfpRyMs
20,.@UNSWScience researchers have come up with a new radical plan to save the critically endangered mountain pygmy-pos… https://t.co/7Z5ZdY9dBm,UNSW,UNSWScience researchers have come up with a new radical plan to save the critically endangered mountain pygmypos… httpstcoZZdYdBm
21,"EVENT: Upcoming - Policy Dialogue on Housing and Ageing, #UNSW, #CEPAR #CANBERRA 11 Nov, 9am - 5pm, More info: https://t.co/YiObSz9ahS",Medianet_EdCal,EVENT Upcoming  Policy Dialogue on Housing and Ageing UNSW CEPAR CANBERRA  Nov am  pm More info httpstcoYiObSzahS
22,"Fantastic to have Liz Smith, Director of UNSW Online at the 2019 World Conference on Online Learning!

https://t.co/w22pxgJM4M",unswpvce,"Fantastic to have Liz Smith Director of UNSW Online at the  World Conference on Online Learning

httpstcowpxgJMM"
23,"What's On: UNSW Wind Symphony Concert: Songs, Poems &amp; Dances: 22 Nov 2019 7:00 pm - 9:00 pm: UNSW Wind Symphony Pau… https://t.co/Uep65kVHIr",RandwickCouncil,Whats On UNSW Wind Symphony Concert Songs Poems amp Dances  Nov   pm   pm UNSW Wind Symphony Pau… httpstcoUepkVHIr
24,What's On: UNSW Orchestra Concert: The Great Animal Orchestra: 15 Nov 2019 7:00 pm - 9:00 pm: UNSW Orchestra Steven… https://t.co/W6QRVhS5KA,RandwickCouncil,Whats On UNSW Orchestra Concert The Great Animal Orchestra  Nov   pm   pm UNSW Orchestra Steven… httpstcoWQRVhSKA
25,"We are proud of @UNSW’s history of educating #yourADF leaders and look forward to a bright, collaborative future. https://t.co/5nslKuFBMs",UNSWDRI,We are proud of UNSW’s history of educating yourADF leaders and look forward to a bright collaborative future httpstconslKuFBMs
26,"@BobbyCheeks1 @Not_OvaryActing @SexxxtinaAqua We are not ""pro-abortion gurlz."" We are women.  Your lack of respect… https://t.co/N2hXwKtwK5",ALReproRightsAd,BobbyCheeks NotOvaryActing SexxtinaAqua We are not proabortion gurlz We are women  Your lack of respect… httpstcoNhXwKtwK
27,Ofc unsw would screw me over one last time with 2 exams in 1 day,_melindawang,Ofc unsw would screw me over one last time with  exams in  day
28,"It's no news that major digital platforms often mislead users about collection of user data. Now, the @acccgovau is… https://t.co/PxxydyEQYo",UNSWLaw,Its no news that major digital platforms often mislead users about collection of user data Now the accgovau is… httpstcoPxxydyEQYo
29,"A gutsy effort - comprehensive study of intestinal gases

Ingestible capsule @UNSW Study led by FLEET's own Kourosh… https://t.co/v4gCm8nD7N",FLEETCentre,"A gutsy effort  comprehensive study of intestinal gases

Ingestible capsule UNSW Study led by FLEETs own Kourosh… httpstcovgCmnDN"
30,.@UNSW and @FraunhoferICT have been working together under an alliance since 2017 to intensify research activities… https://t.co/Wjbdr331bR,GermanChamberOz,UNSW and FraunhoferICT have been working together under an alliance since  to intensify research activities… httpstcoWjbdrbR
31,"Borderline miraculous that after a week, this baby Australian magpie hasn't been done by many stray #feralcat which… https://t.co/yyXHSg9V11",GortaBirds,Borderline miraculous that after a week this baby Australian magpie hasnt been done by many stray feralcat which… httpstcoyyXHSgV
32,"A new study about experiences of autism diagnosis in adulthood, supervised by Professor Julian Trollor at UNSW. “Pa… https://t.co/dGqtpPbaNx",CADRnews,A new study about experiences of autism diagnosis in adulthood supervised by Professor Julian Trollor at UNSW “Pa… httpstcodGqtpPbaNx
33,Men with intellectual disability and men on the autism spectrum are at higher risk of early death from preventable… https://t.co/EgTX4G5G2c,jennalzhao,Men with intellectual disability and men on the autism spectrum are at higher risk of early death from preventable… httpstcoEgTXGGc
34,"Nice!
Hey, @UNSW, how cool would a drone video of our campus be? Imagine flying through the arch of the Scientia Bu… https://t.co/tKq7NyImOy",SBMost,"Nice
Hey UNSW how cool would a drone video of our campus be Imagine flying through the arch of the Scientia Bu… httpstcotKqNyImOy"
35,#melbournecup – iconic race or animal exploitation as sport? Will you be watching? @UNSW's Dr Siobhan O’Sullivan (… https://t.co/9DE7lXunZU,UNSWArts,melbournecup – iconic race or animal exploitation as sport Will you be watching UNSWs Dr Siobhan O’Sullivan … httpstcoDElXunZU
36,Come join our team! We have a Staff Optometrist position available at our UNSW Optometry Clinic. https://t.co/E0suBytjaI,UNSWoptomvsci,Come join our team We have a Staff Optometrist position available at our UNSW Optometry Clinic httpstcoEsuBytjaI
37,@cantapus @OrphanCare @hannahyeoh Hi Sheila. I am a student of UNSW and currently collecting information abt baby d… https://t.co/Wu0vjlQFhL,zome0ne,cantapus OrphanCare hannahyeoh Hi Sheila I am a student of UNSW and currently collecting information abt baby d… httpstcoWuvjlQFhL
38,"“This whole process shows that regulation really does work in the aerospace industry.""

@UNSW Engineering's Dr… https://t.co/NkTSkTbBAz",UNSWEngineering,"“This whole process shows that regulation really does work in the aerospace industry

UNSW Engineerings Dr… httpstcoNkTSkTbBAz"
39,"Applications for NDARC higher degree #research (HDR) scholarships close Sunday, 10 November.

The scholarship amoun… https://t.co/iB6ewL13a4",NDARCNEWS,"Applications for NDARC higher degree research HDR scholarships close Sunday  November

The scholarship amoun… httpstcoiBewLa"
40,Tomorrow: Professor Hongyuan Robert Yang @rob8yang from @UNSW will share new insights into cellular lipid trafficki… https://t.co/uTXABIXFsF,dukenus,Tomorrow Professor Hongyuan Robert Yang robyang from UNSW will share new insights into cellular lipid trafficki… httpstcouTXABIXFsF
41,"Not long now! Join us online in just over 2 hours to hear about the QBot, @UNSW’s digital transformation with… https://t.co/RKbi9iBs4w",KirstyMcGrath13,Not long now Join us online in just over  hours to hear about the QBot UNSW’s digital transformation with… httpstcoRKbiiBsw
42,Prof Marian Baird inspiring emerging researchers in ageing to impact policy in different ways. My favorite being th… https://t.co/onh7gvqMh0,NicoleAEe,Prof Marian Baird inspiring emerging researchers in ageing to impact policy in different ways My favorite being th… httpstcoonhgvqMh
43,👊🏏 First five-wicket haul of the McDonald's #NSWPremierCricket season for Sixers leg-spinner Dan Fallins on Saturda… https://t.co/reth2ea2xe,SixersBBL,oncomingfistcricketgame First fivewicket haul of the McDonalds NSWPremierCricket season for Sixers legspinner Dan Fallins on Saturda… httpstcoretheaxe
44,"Join us online in just over 2 hours when we’ll hear about @UNSW’s digital transformation with @MicrosoftTeams, bots… https://t.co/navLJSt0dG",M365Adoption,Join us online in just over  hours when we’ll hear about UNSW’s digital transformation with MicrosoftTeams bots… httpstconavLJStdG
45,"#IEEE #UNSW #Student #Branch AGM

Last Friday, the UNSW student branch held its 2019 AGM and elected the 2020 commi… https://t.co/kRUOCtm2HO",GeoKonstantinou,"IEE UNSW Student Branch AGM

Last Friday the UNSW student branch held its  AGM and elected the  commi… httpstcokRUOCtmHO"
46,"Tomorrow! Register now

Alice has been a pioneer of the #space industry through her significant role in the New Hor… https://t.co/OppeeUZtJH",MrMichaelSharpe,"Tomorrow Register now

Alice has been a pioneer of the space industry through her significant role in the New Hor… httpstcoOppeeUZtJH"
47,The UNSW Ageing Futures Institute and UNSW Digital Grid Futures Institute are asking all @UNSW students to tell us… https://t.co/QnOC5pRmP2,alienspectacles,The UNSW Ageing Futures Institute and UNSW Digital Grid Futures Institute are asking all UNSW students to tell us… httpstcoQnOCpRmP
48,Call for abstracts. New workshop for those working in the military or sports industries. To register your interest… https://t.co/VBdFSk8rgB,monique_crane,Call for abstracts New workshop for those working in the military or sports industries To register your interest… httpstcoVBdFSkrgB
49,Heads up #NSW #ausag #agchatoz ppl @llsnsw is keen to hear from landholders in NSW who have used the Native Vegetat… https://t.co/W1e7DlmIFg,AuJennymBrown,Heads up NSW ausag agchatoz ppl llsnsw is keen to hear from landholders in NSW who have used the Native Vegetat… httpstcoWeDlmIFg
50,@DeleticAna @UNSW @UNSWBuiltEnv Thanks Ana! :),ATSE_au,DeleticAna UNSW UNSWBuiltEnv Thanks Ana 
51,"Dear female colleagues, do you want to come for a visit to Sydney, to work together for a week or a month? #UNSWEng… https://t.co/YsgrzXongm",wafajohal,Dear female colleagues do you want to come for a visit to Sydney to work together for a week or a month UNSWEng… httpstcoYsgrzXongm
52,"Latest by @thisnewman @CSRH_UNSW et al. 'Increasing HIV treatment access, uptake and use among men who have sex wit… https://t.co/Brw2DXfW0c",AustSoc,Latest by thisnewman CSRHUNSW et al Increasing HIV treatment access uptake and use among men who have sex wit… httpstcoBrwDXfWc
53,"New Impact Accelerator supports “sexy” solar in the city: It may come as a volt from the blue, but solar PV still h… https://t.co/RsFNv01dfX",pvmagazineoz,New Impact Accelerator supports “sexy” solar in the city It may come as a volt from the blue but solar PV still h… httpstcoRsFNvdfX
54,@PremCricketNSW Plenty of @Thunderbbl reps then throw in a few English 1st class players and a small ground = plenty of action,UNSW_Cricket,PremCricketNSW Plenty of Thunderbbl reps then throw in a few English st class players and a small ground  plenty of action
55,"#ERA2019CEPAR
4-5 November 2019 | @UNSW Sydney

@ERA_Australia + @CEPAR_research are delighted to present the 18th… https://t.co/MmfzKJfx74",ERA_Australia,"ERACEPAR
 November   UNSW Sydney

ERAAustralia  CEPARresearch are delighted to present the th… httpstcoMmfzKJfx"
56,THIS SUNDAY.  Get down to David Phillips Field to see some quality @PremCricketNSW 1st grade T20 Double Header v… https://t.co/hPLwvAl0uY,UNSW_Cricket,THIS SUNDAY  Get down to David Phillips Field to see some quality PremCricketNSW st grade T Double Header v… httpstcohPLwvAluY
57,Came early to school today. I wanted to start the day with new hope and positive vibes. I'm grateful that God gives… https://t.co/xhVpIGVsu2,misswowwa,Came early to school today I wanted to start the day with new hope and positive vibes Im grateful that God gives… httpstcoxhVpIGVsu
58,Understanding #biointerfaces between advanced #polymers and #biology is a key topic of Martina Stenzel at… https://t.co/KkX5efKPLO,BICZurich,Understanding biointerfaces between advanced polymers and biology is a key topic of Martina Stenzel at… httpstcoKkXefKPLO
59,UNSW Climate Action Group will be hosting a screening of Jason De Santolo's film Warburdar Bununu: Water Shield on… https://t.co/T5YTqQcrAL,rat_steak,UNSW Climate Action Group will be hosting a screening of Jason De Santolos film Warburdar Bununu Water Shield on… httpstcoTYTqQcrAL
