,tweet,username,Clean Tweets
0,"“Make friends of all ages. When you have friends of all ages, it’s harder to be prejudiced.” @thischairrocks… https://t.co/WoM8Iyv8ku",UNSW,“Make friends of all ages When you have friends of all ages it’s harder to be prejudiced” thischairrocks… httpstcoWoMIyvku
1,"“In Australia, 30% of employers admit they’re reluctant to hire people over 50.”

Ashton Applewhite @thischairrocks… https://t.co/fTee2X5e7b",UNSW,"“In Australia  of employers admit they’re reluctant to hire people over ”

Ashton Applewhite thischairrocks… httpstcofTeeXeb"
2,"""Older is not lesser - the value of a human being does not decline over time"", says @thischairrocks (Ashton Applewh… https://t.co/Azj2GBOtFn",BetterSydney,Older is not lesser  the value of a human being does not decline over time says thischairrocks Ashton Applewh… httpstcoAzjGBOtFn
3,"“Age is a criterion for diversity.”

Ashton Applewhite @thischairrocks at UNTHINKABLE. #UNSWideas https://t.co/viOjTxEJBU",UNSW,"“Age is a criterion for diversity”

Ashton Applewhite thischairrocks at UNTHINKABLE UNSWideas httpstcoviOjTxEJBU"
4,@chappell_louise @_annahush @Janbreck @UNSW_GVRN Thank you 🙏🏼,katrinaellen_zm,chappelllouise annahush Janbreck UNSWGVRN Thank you foldedhandsmediumlightskintone
5,"Final day of UNTHINKABLE. Excited to hear from @thischairrocks, @mscarobaum, @monaeltahawy, @tressiemcphd,… https://t.co/nruCJXkoU7",UNSW,Final day of UNTHINKABLE Excited to hear from thischairrocks mscarobaum monaeltahawy tressiemcphd… httpstconruCJXkoU
6,@TaylorLoverTour @taylorswift13 Is it UNSW? It was my first choice of uni to study but I didn't get a scholarship.,FalseLoverMan,TaylorLoverTour taylorswift Is it UNSW It was my first choice of uni to study but I didnt get a scholarship
7,@ketamine_coffee @lucysunman Carriageworks @UNSW #unswideas,GongGasGirl,ketaminecoffee lucysunman Carriageworks UNSW unswideas
8,"@ScottEacott @UNSWArts @GonskiInstitute @UNSW_ED Indeed, the one &amp; only 😉 Thanks to @NCSEHE for funding this! My ac… https://t.co/hgbtsptt8x",SallyBaker25,ScottEacott UNSWArts GonskiInstitute UNSWED Indeed the one amp only winkingface Thanks to NCSEHE for funding this My ac… httpstcohgbtspttx
9,The #UNSWHeroes program helps prepare graduates to take on the challenges of a rapidly evolving workplace.… https://t.co/bk3jgk4whZ,Sean88ODonnell,The UNSWHeroes program helps prepare graduates to take on the challenges of a rapidly evolving workplace… httpstcobkjgkwhZ
10,"Our @WSJ Essay: ""To Really Learn, Our Children Need the Power of Play"" https://t.co/ZraoaAGHoR @UNSW… https://t.co/8VhlJyr6IP",pasi_sahlberg,Our WSJ Essay To Really Learn Our Children Need the Power of Play httpstcoZraoaAGHoR UNSW… httpstcoVhlJyrIP
11,"@ABCTV removing @QandA's #Broadside ep from iview (but leaving it on website) inspired me to:
- actually get around… https://t.co/4T6VX901fl",jotamarwallaby,"ABCTV removing QandAs Broadside ep from iview but leaving it on website inspired me to
 actually get around… httpstcoTVXfl"
12,"UNSW Arcadian is now live with singles action over at
https://t.co/gAb4AkB1HS",sydneysmash,"UNSW Arcadian is now live with singles action over at
httpstcogAbAkBHS"
13,@monaeltahawy @Carriageworks @UNSWCentreIdeas @clementine_ford @UNSW is this the look you really want to go with? T… https://t.co/HxPC42GCDZ,CJ_Baggins,monaeltahawy Carriageworks UNSWCentreIdeas clementineford UNSW is this the look you really want to go with T… httpstcoHxPCGCDZ
14,"RAINBOW 6 SIEGE GRAND FINALS TODAY!

@UNSW_Esports Clancy 🆚 @uquesports Purple live at Brisbane @SupanovaExpo!
⁠
⌚️… https://t.co/dIbuhTzZZV",AUesportsleague,"RAINBOW  SIEGE GRAND FINALS TODAY

UNSWEsports Clancy VSbutton uquesports Purple live at Brisbane SupanovaExpo
⁠
watch… httpstcodIbuhTzZZV"
15,Labor left must actively disrupt party's bipartisan consensus &amp; policy subservience on [INSERT NAME OF ISSUE HERE]… https://t.co/peyRWEl7X1,mumdaze,Labor left must actively disrupt partys bipartisan consensus amp policy subservience on INSERT NAME OF ISSUE HERE… httpstcopeyRWElX
16,"STARTTS School Liaison Team Leader, Shaun Nemorin spoke with the ABC’s @lynnemalcolm about his recent trip to Kutup… https://t.co/Fo3iOhtChD",STARTTSNSW,STARTTS School Liaison Team Leader Shaun Nemorin spoke with the ABC’s lynnemalcolm about his recent trip to Kutup… httpstcoFoiOhtChD
17,@murpharoo This is a great UNSW report Labour should be reading. https://t.co/Pl3pe3iabR,Pool_Depth1_1,murpharoo This is a great UNSW report Labour should be reading httpstcoPlpeiabR
18,Congrats @UNSWLaw 👏👏👏 https://t.co/uamjLf1rjn,leannmeiers1,Congrats UNSWLaw clappinghandsclappinghands httpstcouamjLfrjn
19,"Likely to bat on, @UNSW_Cricket need more against @sutherlanddcc.

While @FairfieldLions have to start a second tim… https://t.co/oN0m7BVHTJ",PremCricketNSW,"Likely to bat on UNSWCricket need more against sutherlanddcc

While FairfieldLions have to start a second tim… httpstcooNmBVHTJ"
20,"We are proud to sponsor the following delegates at Sydney’s #PRINT2019:
Alice Stuart (UNE)
Alexandra Fogg (ANU)
Dan… https://t.co/SiO1npXOGF",AdvanceMedAU,"We are proud to sponsor the following delegates at Sydney’s PRINT
Alice Stuart UNE
Alexandra Fogg ANU
Dan… httpstcoSiOnpXOGF"
21,"How to get to the Arcadian venue Via UNSW Gate 4:
https://t.co/pI7Ha8RKwY",GubbaFlubba,"How to get to the Arcadian venue Via UNSW Gate 
httpstcopIHaRKwY"
22,"In its last concert for 2019, the UNSW Orchestra presents a program which includes Sibelius's ""Finlandia"", Mozart's… https://t.co/8BVg0nJsnv",classik_on,In its last concert for  the UNSW Orchestra presents a program which includes Sibeliuss Finlandia Mozarts… httpstcoBVgnJsnv
23,@PsychCardiffUni @boivincardiff @fertilityeduk @ProfJoyceHarper On point 5 it's important and useful to highlight t… https://t.co/wbodNVPijj,AJamesPhillips,PsychCardiffUni boivincardiff fertilityeduk ProfJoyceHarper On point  its important and useful to highlight t… httpstcowbodNVPijj
24,Looking forward to seeing this - Caroline Baum with an array of interesting guests! FINAL EVENT of @thebiganxiety 2… https://t.co/9HgPgjvGbA,Jill_TBA,Looking forward to seeing this  Caroline Baum with an array of interesting guests FINAL EVENT of thebiganxiety … httpstcoHgPgjvGbA
25,"Thought-provoking talk from @rezaaslan @UNSWCentreIdeas @UNSW last night, spanning biological anthropology, cogniti… https://t.co/oIXUmmBP6s",NaliniPather,Thoughtprovoking talk from rezaaslan UNSWCentreIdeas UNSW last night spanning biological anthropology cogniti… httpstcooIXUmmBPs
26,@UNSW @monaeltahawy @UNSWCentreIdeas @clementine_ford Lol. You cannot make this shit up! @UNSW proving to all emplo… https://t.co/Q6H9sPoXe8,78OD,UNSW monaeltahawy UNSWCentreIdeas clementineford Lol You cannot make this shit up UNSW proving to all emplo… httpstcoQHsPoXe
27,@UNSW @UNSWScience @mikeletnic Excellent video @mikeletnic - spreading the word about our new study. Almost all ‘wi… https://t.co/4lQZhWJ8Jr,dr_cairns,UNSW UNSWScience mikeletnic Excellent video mikeletnic  spreading the word about our new study Almost all ‘wi… httpstcolQZhWJJr
28,@UNSW @monaeltahawy @UNSWCentreIdeas @clementine_ford UNSW- please provide the address to make a complaint about racism,barry74478658,UNSW monaeltahawy UNSWCentreIdeas clementineford UNSW please provide the address to make a complaint about racism
29,"I'm in Sydney now! Come see me at UNSW Roundhouse tomorrow! https://t.co/sOlzBmkJIE Mar 22, 2014",carryppp,Im in Sydney now Come see me at UNSW Roundhouse tomorrow httpstcosOlzBmkJIE Mar  
30,@UNSW @rezaaslan @UNSWCentreIdeas @bairdjulia There are and have been many cultures without religion. Individual an… https://t.co/lbuYpi21Uu,finergan,UNSW rezaaslan UNSWCentreIdeas bairdjulia There are and have been many cultures without religion Individual an… httpstcolbuYpiUu
31,@UNSW @rezaaslan @UNSWCentreIdeas @bairdjulia @Carriageworks Religion is a crutch for people who do not know they a… https://t.co/XfuwHSrGIE,finergan,UNSW rezaaslan UNSWCentreIdeas bairdjulia Carriageworks Religion is a crutch for people who do not know they a… httpstcoXfuwHSrGIE
32,"Despite warnings about the health risks of Nexium, Prevacid, Prilosec, Protonix, and other PPIs, researchers say th… https://t.co/OmqV4sv6aE",HMFLawFirm,Despite warnings about the health risks of Nexium Prevacid Prilosec Protonix and other PPIs researchers say th… httpstcoOmqVsvaE
33,"Save the date for The Howard Library's final Howard Government Retrospective conference, 18-19 November 2019, at th… https://t.co/lyeHWiRNLl",ClarkCenterOZNZ,Save the date for The Howard Librarys final Howard Government Retrospective conference  November  at th… httpstcolyeHWiRNLl
34,@UNSW @rezaaslan @monaeltahawy @UNSWCentreIdeas @Carriageworks Oh Reza Aslan and the crazy lady that believes civil… https://t.co/FFzesFLOVJ,holytaso,UNSW rezaaslan monaeltahawy UNSWCentreIdeas Carriageworks Oh Reza Aslan and the crazy lady that believes civil… httpstcoFFzesFLOVJ
35,Fantastic talk by John Mattick @UNSW this morning at IPMC @INSB_CNRS  @uca_research on the new world of RNA biology… https://t.co/lSh1VZGnd2,Bernard_Mari1,Fantastic talk by John Mattick UNSW this morning at IPMC INSBCNRS  ucaresearch on the new world of RNA biology… httpstcolShVZGnd
